PVR_PECy7,PLVAP_APC,CD51_FITC,CD168_700,Zombie_violet,CIP2A_APCCy7,VEGFR1_594,CD42_BV605,Colony
241,14,155,319,359,193,721,"21,989",0
"1,874",-1,473,586,227,-17,240,"1,408",0
134,130,389,628,581,352,374,"17,820",0
450,68,635,927,627,479,581,"21,557",0
802,482,"1,084",746,"1,016","1,215",275,"3,334",0
584,93,243,830,375,41,129,"4,622",0
750,166,520,71,508,418,291,"14,336",0
"1,490",67,278,-38,293,220,161,267,0
"1,623",252,609,289,372,132,78,"3,861",0
"1,805",35,408,537,642,155,424,"18,206",0
-110,19,"1,212","2,204",956,497,34,"6,730",0
"1,585",210,684,"1,510","1,199",755,130,"13,188",0
"2,326",166,212,149,193,21,144,246,0
"1,265",273,329,325,503,311,132,"1,048",0
481,191,272,524,385,217,154,"9,539",0
"2,240",223,617,663,804,362,207,"14,162",0
654,110,699,400,454,270,521,"15,768",0
"2,100",47,512,109,366,141,218,694,0
458,95,398,54,301,225,24,"3,623",0
207,164,744,992,777,359,310,"19,732",0
929,193,364,"1,217",858,499,464,"9,754",0
178,159,289,749,"1,112",412,-13,"37,052",0
290,61,613,263,717,576,480,"12,515",0
972,258,677,"1,018",378,205,496,"19,910",0
"2,270",101,630,513,969,462,281,979,0
408,181,589,"1,452","1,229",526,666,"21,064",0
432,102,758,"1,512",808,489,770,"26,141",0
556,159,439,283,562,207,85,"3,718",0
"1,449",130,227,119,255,13,69,268,0
320,264,"1,152","1,032",864,323,76,"26,841",0
"1,814",19,351,-36,261,46,240,"1,440",0
69,119,791,"2,258","1,013",691,832,"21,370",0
"2,978",32,231,135,229,-58,219,287,0
"2,696",171,230,348,346,216,108,376,0
"2,169",225,953,795,548,197,79,680,0
"1,085",185,"1,383",802,"1,536",482,"1,321","41,372",0
172,55,921,106,569,286,350,"10,239",0
187,130,525,401,893,2,962,"41,772",0
225,327,212,"1,398","1,083",731,625,"21,726",0
240,216,329,104,710,279,631,"22,988",0
"1,630",67,348,69,305,170,98,211,0
"1,216",80,535,-253,245,19,55,"5,172",0
"1,161",27,365,30,196,166,95,518,0
"1,937",123,563,9,898,510,254,842,0
"1,666",440,897,774,"1,100","1,231","1,672","51,692",0
858,205,485,494,549,377,11,"6,242",0
"1,388",87,578,387,464,-56,194,"1,617",0
"1,467",236,345,650,331,326,106,"5,974",0
288,227,"2,308","2,486","1,742",502,233,"17,829",0
"2,216",58,226,510,193,34,83,298,0
"1,516",172,304,13,330,423,114,342,0
"1,013",404,181,991,668,"1,044",892,"30,874",0
"2,482",45,215,256,250,252,160,598,0
830,52,598,-98,318,335,195,"4,156",0
"1,138",214,350,475,469,298,207,"3,690",0
"1,636",174,696,745,421,445,41,"1,726",0
"1,287",333,"1,064","2,853","1,533","2,462",693,"21,650",0
826,99,557,464,607,378,181,"1,446",0
915,120,426,120,287,16,253,"5,314",0
"1,275",123,362,606,253,16,157,204,0
989,64,275,130,346,-22,137,553,0
216,334,338,"1,140",739,863,166,"19,764",0
747,157,373,692,477,270,601,"29,213",0
-32,125,304,480,767,254,740,"30,004",0
"1,820",5,319,148,377,315,115,427,0
"1,943",319,718,299,829,396,179,"1,188",0
620,102,436,393,340,250,80,"1,117",0
"1,500",60,714,763,789,576,299,"7,086",0
265,152,536,925,856,638,942,"41,620",0
"2,890",59,595,252,273,135,97,185,0
"1,376",89,458,37,448,462,254,"2,382",0
253,5,529,298,238,74,153,539,0
"1,373",219,"2,932",513,966,363,277,"1,140",0
526,33,400,-31,340,110,187,"1,004",0
434,112,"1,948",947,786,523,"1,143","42,319",0
286,95,794,346,701,294,391,"4,984",0
409,264,641,803,801,559,196,"15,685",0
61,162,211,45,393,486,866,"22,773",0
369,212,325,826,771,307,702,"52,403",0
"1,467",43,383,27,214,153,118,663,0
40,171,213,637,287,410,253,"13,051",0
921,83,309,-157,425,266,122,578,0
"1,133",362,"1,335",39,421,368,272,395,0
769,91,311,137,408,55,136,"1,058",0
"1,334",71,134,-65,169,184,84,232,0
323,35,720,747,"1,568",308,"1,023","28,001",0
205,186,523,583,898,329,360,"17,232",0
"2,013",193,464,"1,285",450,"1,479",-18,"11,700",0
585,296,"1,052",690,"1,242",403,412,"8,056",0
387,92,194,350,365,244,389,"13,493",0
"2,110",165,"1,852","1,332",590,386,329,"44,839",0
"2,178",38,310,185,269,352,130,"1,801",0
367,268,346,780,322,0,554,"33,960",0
451,166,500,99,758,463,793,"23,392",0
-15,125,252,253,341,142,423,"9,810",0
"1,811",224,522,271,234,376,409,933,0
