Well,Plate,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony
J12,1,"101,945","131,978","89,962",63,449,"1,230","1,947","1,723","10,719",602,"2,372",N
J13,1,"117,284","162,365","56,949","4,926",-144,847,26,425,"1,534",276,844,N
J14,1,"146,852","198,582","58,814","2,333",223,704,86,992,"2,455",-77,"14,561",N
J15,1,"77,430","118,884","65,966",720,142,566,68,823,"8,565",475,"1,022",N
J16,1,"80,146","136,765","69,965","1,803",139,622,97,979,938,389,"1,147",N
J17,1,"92,459","136,047","47,424",165,359,959,7,"2,112","4,904",199,"9,948",N
J18,1,"73,404","138,375","31,106","1,379",267,454,173,518,"4,931",170,502,N
J19,1,"73,481","138,585","45,188","2,525",237,520,272,789,602,709,"1,699",N
J20,1,"63,158","120,407","43,040",811,266,512,150,641,"2,433",219,656,N
J21,1,"90,882","149,260","80,685","2,377",425,"1,113",100,"2,164","2,492",466,"15,876",N
J22,1,"98,947","125,144","36,902","1,075",0,390,-28,572,"3,620",261,415,N
J23,1,"113,568","163,877","57,193","3,277",213,756,74,"1,411","1,295",842,"2,399",N
J24,1,"81,671","128,522","28,483","1,936",271,420,167,919,"2,261",49,"4,276",N
K1,1,"58,147","111,618","43,678",445,105,460,389,"1,707","2,422",201,"1,616",N
K2,1,"75,849","99,013","16,474",12,-15,315,-9,190,"2,714",78,"1,046",N
K3,1,"83,343","138,260","42,292","3,160",42,541,-80,393,"1,795","1,314","3,655",N
K4,1,"122,496","147,797","62,967","2,219",69,747,93,664,"1,531","1,555","2,734",N
K5,1,"114,438","150,825","77,637","5,452",350,958,100,"1,274","1,452",565,"2,779",N
K6,1,"73,140","121,977","59,931","1,145",89,374,"1,519",274,"2,436",283,298,N
K7,1,"101,115","135,443","64,142",447,160,711,234,"1,299","4,541",467,"13,415",N
K8,1,"86,849","135,131","39,223",961,327,"1,324",180,"1,126","3,016",61,"3,030",N
K9,1,"77,664","114,852","22,636","1,656",224,282,57,429,741,244,579,N
K10,1,"78,758","120,244","52,966",379,264,885,33,"1,729","1,737",349,"1,802",N
K11,1,"80,165","143,121","36,471","1,537",133,423,39,964,"4,624",308,"5,752",N
