Well,FSC_A,FSC_W,SSC_A,PVR_PECy7,ANXA1_APC,CD51_FITC,CD168_700,Zombie,CD41_APCH7,MICB_PE,CD42_BV605,Colony,Plate
L9,"88,061","109,751","25,124","2,157",-96,530,61,250,"6,148",-29,413,Y,1
L10,"109,877","119,355","28,951","1,339",-3,501,143,237,"10,822",375,"3,937",N,1
L11,"130,446","160,348","54,808","2,679",-999,703,46,270,"25,609",202,"6,842",N,1
L12,"101,375","111,370","19,275","2,810",129,126,83,157,367,841,169,N,1
L13,"89,834","113,009","31,224","1,397",-300,226,100,-24,"11,484",257,"8,116",Y,1
L14,"108,107","121,639","19,331",489,-282,400,22,-161,"8,422",259,"8,830",N,1
L15,"125,004","159,494","59,694","1,849",-793,787,873,176,"22,322",132,"8,655",Y,1
L16,"112,279","120,902","22,772","2,919",136,509,33,389,344,189,765,Y,1
L17,"85,310","109,905","45,682","1,017",-10,495,-54,514,"5,513",232,567,N,1
L18,"127,933","144,334","38,970","2,866",18,517,-53,437,"3,353",257,468,N,1
L19,"107,130","124,592","23,390",611,-249,424,234,63,"14,407",407,"3,784",N,1
L20,"76,547","113,566","39,437","1,671",237,237,"2,560",62,810,72,312,N,1
L21,"123,111","159,687","60,255","2,392",-216,"1,208",24,975,"15,307",255,"1,105",N,1
L22,"107,278","126,597","29,139","3,001",-181,479,"1,330",92,"9,031",217,"2,834",N,1
L23,"110,752","123,006","23,040","2,706",68,233,-43,153,"2,427",446,194,N,1
L24,"99,284","126,655","29,334","1,122",-143,475,-106,166,"10,320",548,"1,307",N,1
M1,"135,500","145,678","35,258","1,597",-317,460,98,33,"9,656",164,"7,285",N,1
M2,"116,230","134,135","37,640","2,705",-593,375,105,180,"13,584",55,"4,590",N,1
M3,"84,609","135,570","33,272","1,488",-398,508,113,360,"16,026",259,429,N,1
M4,"86,976","112,428","46,297","2,566",155,671,63,582,"1,612",407,542,N,1
M5,"107,807","125,297","22,425",995,-607,284,41,56,"12,613",881,"3,416",N,1
M6,"119,597","166,637","34,488","2,711",-499,740,216,150,"13,487","1,009","1,821",Y,1
M7,"95,078","124,856","28,756","3,473",126,408,-13,447,"6,419",487,500,N,1
M8,"87,737","127,695","31,770","5,030",31,400,225,442,"2,391",618,579,N,1
M9,"87,319","114,193","39,612","3,651",-274,515,-23,372,"10,483",20,"2,421",N,1
M10,"106,240","127,140","34,269","1,340",-445,588,26,12,"14,182",275,"8,070",N,1
M11,"130,458","145,819","66,135",662,-781,409,134,116,"20,211",673,"14,501",N,1
M12,"113,572","120,592","29,511","1,739",-294,226,-160,53,"4,662",262,130,Y,1
M13,"97,924","123,834","51,889",674,84,645,117,711,"9,506",721,"1,871",N,1
M14,"105,195","134,471","54,939",154,-170,574,27,228,"8,138",446,"12,907",N,1
M15,"111,569","129,421","63,773","1,355",-424,"1,037",190,724,"16,761",906,"2,696",N,1
M16,"127,352","154,179","61,475",-45,-702,478,204,-742,"17,343",208,"33,493",N,1
