CIP2A_APC,CD41_APCH,CD42_BV605,Vimentin_488,PVR_PECy7,MICB_PE,Zombie,Colony
47,3755,758,595,2597,213,1137,0
43,4960,804,810,1133,152,1308,0
44,4285,939,556,2071,202,933,0
55,2942,669,661,3127,979,1025,0
33,21620,14135,458,661,95,900,0
61,5684,1126,905,926,79,2396,0
15,15121,2930,437,990,309,723,0
75,21216,4121,1029,2525,606,2640,0
36,17052,2343,356,1201,18,559,0
51,5286,788,600,2748,334,1181,0
16,7420,1101,423,2545,322,765,0
53,594,773,811,1093,257,1306,0
-2,22650,12069,351,369,1,476,0
14,2746,278,226,1476,167,590,0
83,20988,15397,813,659,103,1175,0
22,13486,417,253,1081,175,395,0
22,2428,800,352,1408,359,728,0
94,947,1220,1026,182,143,2064,0
833,9398,3305,472,877,135,393,0
18,15328,16105,216,1105,170,-141,0
52,26447,1535,624,1448,283,1454,0
-8,3736,70,167,520,199,295,0
81,22362,21011,784,1854,351,808,0
36,11575,2090,423,2489,433,788,0
6,1070,168,176,1797,49,376,0
20,7668,1341,325,1812,167,609,0
18,3944,375,219,1434,207,472,0
49,27199,10740,606,2295,44,1069,0
17,4475,215,267,1296,94,303,0
3,782,281,283,1433,120,405,0
0,327,244,257,1338,63,405,0
28,9103,636,433,1161,362,944,0
35,5290,765,502,2403,386,1007,0
53,16667,784,619,1891,661,1176,0
22,293,265,226,1301,96,369,0
45,14024,987,652,1857,307,1394,0
215,28923,2652,2345,13081,1290,3289,0
82,26201,6328,833,4000,303,2113,0
53,5460,444,521,3814,333,806,0
25,809,455,445,2401,494,941,0
9,5138,573,409,923,194,1105,0
63,1161,767,612,1809,273,1626,0
23,4236,625,487,2374,150,943,0
23,35456,18883,263,897,-65,256,0
36,23162,14411,170,208,105,-40,0
58,1989,1093,784,923,80,1901,0
27,4727,412,265,1274,91,830,0
37,19994,7172,473,562,193,718,0
36,2074,466,457,2139,667,930,0
21,4213,450,352,1440,116,842,0
27,2817,475,418,1367,154,540,0
25,9703,547,335,1374,208,597,0
